 
Vestvågøy	68°13′17″N	13°47′04″E 11,294
Vågan	68°16′41″N	14°31′15″E 9,444
Hadsel	68°32′06″N	14°49′30″E 8,009
Bø	68°41′43″N	14°34′46″E 2,624
Øksnes	68°53′18″N	15°11′00″E 4,580
Sortland	68°42′31″N	15°16′51″E 10,378
Andøy	69°05′40″N	15°45′52″E 4,908
Moskenes	67°55′31″N	12°57′32″E 1,073
Hamarøy	68°04′33″N	15°46′56″E 1,810
Halden	59°7′35″N	11°28′58″E 31,444
Moss	59°27′33″N	10°42′3″E 50,290
Sarpsborg	59°17′09″N	11°06′43″E 58,182
Fredrikstad	59°12′19″N	10°57′0″E 83,892
Drammen	59°44′16″N	10°12′18″E 102,449
Kongsberg	59°40′10″N	09°39′06″E 27,879
Ringerike	60°12′19″N	10°9′9″E 31 011
Hvaler	59°3′23″N	11°1′20″E 4,741
Aremark	59°13′23″N	11°41′44″E 1 315
Marker	59°30′40″N	11°37′42″E 3,578
Indre Østfold	59°34′56″N	11°10′13″E 45,608
Skiptvet	59°28′50″N	11°8′40″E 3,846
Rakkestad	59°22′23″N	11°25′13″E 8,312
Råde	59°20′56″N	10°51′18″E 7,633
Våler	59°28′21″N	10°55′1″E 5,913
Vestby	59°34′30″N	10°43′55″E 18,699
Nordre Follo	59°45′00″N	10°52′00″E 61,032
Ås	59°39′37″N	10°47′1″E 20,780
Frogn	59°41′56″N	10°39′19″E 16,084
Nesodden	59°48′31″N	10°39′20″E 19,939
Bærum	59°56′18″N	10°30′24″E 129,073
Asker	59°50′7″N	10°26′6″E 96,088
Aurskog-Høland	59°50′24″N	11°34′6″E 17,754
Rælingen	59°53′21″N	11°4′31″E 19,024
Enebakk	59°46′27″N	11°6′7″E 11,249
Lørenskog	59°53′56″N	10°57′51″E 44,693
Lillestrøm	59°57′N	11°05′E 89,095
Nittedal	60°4′23″N	10°52′20″E 24,947
Gjerdrum	60°4′57″N	11°0′52″E 6,989
Ullensaker	60°10′15″N	11°11′17″E 41,565
Nes	60°7′51″N	11°29′21″E 23,898
Eidsvoll	60°21′N	11°15′E 26,716
Nannestad	60°14′44″N	10°57′10″E 15,074
Hurdal	60°24′57″N	11°0′31″E 2,905
Hole	60°2′52″N	10°17′28″E 6,859
Flå	60°24′31″N	9°29′3″E 1,057
Nesbyen	60°33′30″N	9°6′4″E 3,273
Gol	60°45′1″N	8°59′5″E 4,667
Hemsedal	60°54′21″N	8°30′53″E 2,611
Ål	60°37′49″N	8°33′40″E 4,719
Hol	60°34′18″N	8°4′18″E 4,504
Sigdal	60°3′9″N	9°36′4″E 3,502
Krødsherad	60°11′42″N	9°39′52″E 2 189
Modum	59°57′27″N	9°58′58″E 14,273
Øvre Eiker	59°46′19″N	9°50′10″E 20,044
Lier	59°47′38″N	10°15′58″E 27,584
Flesberg	59°50′52″N	9°28′56″E 2,720
Rollag	60°1′2″N	9°14′2″E 1,370
Nore og Uvdal	60°18′26″N	8°48′20″E 2,455
Jevnaker	60°16′16″N	10°24′7″E 6,908
Lunner	60°15′10″N	10°40′2″E 9,144
Kongsvinger	60°14′35″N	12°13′32″E 17,857
Hamar	60°47′57″N	11°3′22″E 30,598
Lillehammer	61°7′N	10°28′E 27,781
Gjøvik	60°47′33″N	10°41′42″E 30,319
Ringsaker	61°1′27″N	10°48′7″E 33,842
Løten	60°49′31″N	11°23′27″E 7,633
Stange	60°42′57″N	11°11′25″E 20,317
Nord-Odal	60°26′32″N	11°34′5″E 5,100
Sør-Odal	60°14′12″N	11°44′44″E 7,866
Eidskog	59°59′53″N	12°3′38″E 6,127
Grue	60°27′23″N	12°03′30″E 4,777
Åsnes	60°39′13″N	12°9′11″E 7,329
Våler	60°45′12″N	11°53′51″E 3,743
Elverum	60°55′39″N	11°42′55″E 21,086
Trysil	61°18′36″N	12°18′54″E 6,550
Åmot	61°8′47″N	11°24′57″E 4,518
Stor-Elvdal	61°38′6″N	10°52′27″E 2,530
Rendalen	61°51′34″N	11°10′34″E 1,858
Engerdal	61°53′N	12°2′E 1,274
Tolga	62°24′5″N	11°1′20″E 1,620
Tynset	62°16′31″N	10°49′57″E 5,584
Alvdal	62°4′18″N	10°30′27″E 2,441
Folldal	62°11′57″N	10°2′7″E 1,577
Os	62°28′34″N	11°14′35″E 1,963
Dovre	62°2′6″N	9°28′3″E 2,675
Lesja	62°12′38″N	8°38′41″E 2,048
Skjåk	61°56′10″N	7°57′37″E 2,202
Lom	61°48′39″N	8°38′21″E 2,360
Vågå	61°50′55″N	9°7′16″E 3,640
Nord-Fron	61°39′32″N	9°43′40″E 5,723
Sel	61°49′1″N	9°34′24″E 5,916
Sør-Fron	61°34′8″N	9°55′24″E 3,163
Ringebu	61°32′8″N	10°18′29″E 4,502
Øyer	61°15′55″N	10°24′48″E 5,082
Gausdal	61°16′36″N	9°55′21″E 6,204
Østre Toten	60°36′48″N	10°54′58″E 14,887
Vestre Toten	60°39′10″N	10°35′46″E 13,179
Gran	60°26′28″N	10°29′44″E 13,707
Søndre Land	60°40′37″N	10°16′44″E 5,717
Nordre Land	60°55′55″N	10°1′2″E 6,773
Sør-Aurdal	60°41′47″N	9°39′32″E 3,026
Etnedal	60°58′2″N	9°39′13″E 1,351
Nord-Aurdal	60°57′35″N	9°15′51″E 6,490
Vestre Slidre	61°3′38″N	8°55′2″E 2,114
Øystre Slidre	61°14′11″N	9°8′37″E 3,248
Vang	61°12′52″N	8°30′15″E 1,596
Horten	59°25′15″N	10°25′58″E 27,202
Holmestrand	59°29′43″N	10°14′55″E 14,037
Tønsberg	59°17′53″N	10°25′25″E 44,922
Sandefjord	59°7′50″N	10°13′00″E 62,019
Larvik	59°4′52″N	10°0′59″E 46,557
Porsgrunn	59°6′56″N	9°42′36″E 36,198
Skien	59°12′29″N	9°33′10″E 54,316
Notodden	59°37′46″N	9°11′29″E 12,757
Færder	59°10′N	10°24′E 26,676
Siljan	59°17′51″N	9°42′23″E 2,357
Bamble	59°1′11″N	9°33′39″E 14,138
Kragerø	58°53′13″N	9°20′49″E 10,586
Drangedal	59°7′24″N	8°58′55″E 4,148
Nome	59°17′5″N	9°7′26″E 6,585
Midt-Telemark	59°27′00″N	9°06′00″E 10,439
Tinn	60°0′33″N	8°33′34″E 5,894
Hjartdal	59°39′54″N	8°43′34″E 1,593
Seljord	59°30′48″N	8°38′56″E 2,979
Kviteseid	59°23′54″N	8°29′42″E 2,442
Nissedal	59°4′35″N	8°31′6″E 1,476
Fyresdal	59°9′57″N	8°1′11″E 1,319
Tokke	59°25′2″N	7°58′43″E 2,228
Vinje	59°48′5″N	7°46′45″E 3,726
Risør	58°43′35″N	09°11′40″E 6,935
Grimstad	58°21′07″N	08°32′40″E 22,692
Arendal	58°27′39″N	08°45′59″E 44,576
Kristiansand	58°8′50″N	7°59′50″E 113,920
Lindesnes	58°06′15″N	07°17′20″E 23,025
Farsund	58°04′58″N	06°45′10″E 9,769
Flekkefjord	58°19′38″N	06°40′00″E 9,090
Gjerstad	58°53′33″N	08°57′24″E 2,511
Vegårshei	58°46′32″N	08°49′56″E 2,104
Tvedestrand	58°37′26″N	08°55′40″E 6,051
Froland	58°34′59″N	08°34′20″E 5,713
Lillesand	58°14′49″N	08°19′01″E 10,702
Birkenes	58°26′58″N	08°14′00″E 5,178
Åmli	58°47′53″N	08°22′9″E 1,856
Iveland	58°26′28″N	07°57′21″E 1,342
Evje og Hornnes	58°35′05″N	07°46′14″E 3,614
Bygland	58°55′27″N	07°45′53″E 1,200
Valle	59°12′45″N	7°32′09″E 1,246
Bykle	59°26′35″N	07°15′18″E 952
Vennesla	58°18′38″N	7°51′25″E 14,425
Åseral	58°42′07″N	07°23′37″E 937
Lyngdal	58°10′09″N	07°03′21″E 10,368
Hægebostad	58°27′24″N	07°13′11″E 1,702
Kvinesdal	58°20′17″N	07°01′23″E 5,988
Sirdal	58°51′43″N	06°48′48″E 1,836
Bergen	60°23′22″N	5°19′48″E 287,428
Kinn	61°35′59″N	5°01′58″E 17,131
Etne	59°39′50″N	05°56′00″E 4,043
Sveio	59°34′25″N	05°21′48″E 5,775
Bømlo	59°46′46″N	05°13′06″E 12,061
Stord	59°48′29″N	05°27′59″E 18,919
Fitjar	59°55′08″N	05°22′17″E 3,117
Tysnes	59°59′54″N	05°34′38″E 2,883
Kvinnherad	59°55′41″N	06°02′13″E 13,017
Ullensvang	60°18′42″N	06°48′53″E 10,881
Eidfjord	60°26′06″N	07°16′38″E 937
Ulvik	60°37′16″N	07°04′49″E 1,051
Voss	60°42′09″N	06°25′23″E 15,875
Kvam	60°22′12″N	06°08′38″E 8,497
Samnanger	60°24′10″N	05°48′20″E 2,501
Bjørnafjorden	60°11′44″N	5°37′20″E 25,213
Austevoll	60°02′16″N	05°16′06″E 5,282
Øygarden	60°36′39″N	04°49′29″E 39,032
Askøy	60°28′17″N	05°09′38″E 29,032
Vaksdal	60°36′25″N	05°48′58″E 3,867
Modalen	60°52′50″N	05°55′31″E 378
Osterøy	60°31′05″N	05°32′29″E 8,131
Alver	60°40′00″N	05°20′00″E 29,816
Austrheim	60°46′16″N	04°55′34″E 2,889
Fedje	60°46′08″N	04°43′50″E 502
Masfjorden	60°50′18″N	05°26′55″E 1,629
Gulen	61°01′27″N	05°07′10″E 2,230
Solund	61°07′51″N	04°56′52″E 768
Hyllestad	61°10′15″N	05°17′35″E 1,290
Høyanger	61°11′17″N	05°53′44″E 3,965
Vik	61°03′25″N	06°34′41″E 2,560
Sogndal	61°14′32″N	07°03′18″E 12,097
Aurland	60°52′05″N	07°14′36″E 1,766
Lærdal	61°03′04″N	07°35′52″E 2,117
Årdal	61°17′29″N	07°47′53″E 5,204
Luster	61°29′38″N	07°19′46″E 5,246
Askvoll	61°24′21″N	05°14′32″E 2,951
Fjaler	61°18′22″N	05°27′48″E 2,901
Sunnfjord	61°27′08″N	5°51′26″E 22,116
Bremanger	61°48′31″N	05°25′15″E 3,521
Stad	61°54′41″N	6°02′14″E 9,527
Gloppen	61°44′38″N	06°10′14″E 5,875
Stryn	61°50′19″N	06°51′46″E 7,207
Trondheim	63°25′47″N	10°23′36″E 211,246
Steinkjer	64°03′29″N	11°43′08″E 24,357
Namsos	64°29′38″N	11°30′42″E 13,051
Frøya	63°43′32″N	08°44′39″E 4,937
Osen	64°17′52″N	10°30′48″E 978
Oppdal	62°34′25″N	09°36′32″E 6,973
Rennebu	62°49′51″N	09°52′28″E 2,556
Røros	62°34′27″N	11°22′59″E 5,623
Holtålen	62°52′07″N	11°16′38″E 2,046
Midtre Gauldal	62°55′16″N	10°30′02″E 6,319
Melhus	63°10′35″N	10°18′13″E 16,213
Skaun	63°16′53″N	10°03′19″E 8,000
Malvik	63°22′22″N	10°45′03″E 13,820
Selbu	63°11′54″N	11°08′25″E 4,098
Tydal	63°01′06″N	11°48′54″E 861
Meråker	63°26′17″N	11°50′58″E 2,508
Stjørdal	63°28′30″N	11°10′15″E 23,625
Frosta	63°36′14″N	10°46′28″E 2,630
Levanger	63°39′17″N	11°15′37″E 19,892
Verdal	63°47′53″N	11°56′57″E 14,849
Snåsa	64°13′28″N	12°37′31″E 2,159
Lierne	64°22′34″N	13°36′35″E 1,389
Røyrvik	64°55′15″N	13°39′03″E 469
Namsskogan	64°52′19″N	12°58′35″E 872
Grong	64°31′53″N	12°37′12″E 2,467
Høylandet	64°43′27″N	12°20′02″E 1,264
Overhalla	64°30′28″N	11°53′38″E 3,840
Flatanger	64°25′11″N	10°54′28″E 1,090
Leka	65°05′17″N	11°37′01″E 584
Inderøy	63°53′58″N	11°13′12″E 6,800
Indre Fosen	63°38′38″N	10°11′13″E 10,108
Heim	63°17′26″N	9°05′21″E 5,963
Hitra	63°32′50″N	08°51′17″E 4,659
Ørland	63°47′N	09°48′E 5,291
Åfjord	63°58′40″N	10°23′08″E 3,263
Orkland	63°18′24″N	9°51′01″E 11,891
Nærøysund	64°50′21″N	11°27′39″E 9,623
Rindal	63°02′32″N	09°17′22″E 2,026
Tromsø	69°40′58″N	18°56′34″E 74,541
Harstad	68°48′00″N	16°32′45″E 24,845
Alta	69°58′36″N	23°17′45″E 20,446
Vardø	70°22′14″N	31°01′27″E 2,104
Vadsø	70°04′24″N	29°44′59″E 6,154
Hammerfest	70°39′45″N	23°41′00″E 10,527
Kvæfjord	68°42′07″N	16°08′49″E 2,986
Tjeldsund	68°29′04″N	16°17′33″E 4,243
Ibestad	68°49′46″N	17°14′45″E 1,394
Gratangen	68°41′24″N	17°32′30″E 1,121
Lavangen	68°39′28″N	17°35′01″E 1,076
Bardu	68°51′51″N	18°21′10″E 3,994
Salangen	68°54′02″N	17°53′35″E 2,220
Målselv	68°58′30″N	19°03′52″E 6,781
Sørreisa	69°05′31″N	18°11′37″E 3,496
Dyrøy	69°04′01″N	17°44′29″E 1,138
Senja	69°04′50″N	16°48′11″E 14,930
Balsfjord	69°18′17″N	19°12′13″E 5,685
Karlsøy	70°07′48″N	19°25′51″E 2,273
Lyngen	69°41′25″N	20°04′54″E 2,876
Storfjord	69°16′43″N	20°17′12″E 1,890
Kåfjord	69°36′14″N	20°31′57″E 2,132
Skjervøy	70°05′07″N	20°39′34″E 2,912
Nordreisa	69°42′18″N	21°12′33″E 4,919
Kvænangen	69°53′39″N	21°58′49″E 1,233
Kautokeino	69°00′42″N	23°02′36″E 2,938
Loppa	70°14′22″N	22°20′55″E 968
Hasvik	70°35′30″N	22°18′10″E 1,037
Måsøy	70°59′48″N	24°39′41″E 1,204
Nordkapp	70°58′41″N	25°58′29″E 3,276
Porsanger	70°03′08″N	24°57′21″E 3,971
Karasjok	69°28′55″N	25°06′18″E 2,696
Lebesby	70°56′43″N	27°21′04″E 1,330
Gamvik	71°02′28″N	27°51′05″E 1,137
Berlevåg	70°51′29″N	29°05′06″E 991
Tana	70°11′58″N	28°11′09″E 2,911
Nesseby	70°10′24″N	28°33′13″E 951
Båtsfjord	70°38′07″N	29°43′15″E 2,267
Sør-Varanger	69°43′43″N	30°02′30″E 10,199
 
