
Løten	60°49′31″N	11°23′27″E
Stange	60°42′57″N	11°11′25″E
Nord-Odal	60°26′32″N	11°34′5″E
Sør-Odal	60°14′12″N	11°44′44″E
Eidskog	59°59′53″N	12°3′38″E
Grue	60°27′23″N	12°03′30″E
Åsnes	60°39′13″N	12°9′11″E
Våler	60°45′12″N	11°53′51″E
Elverum	60°55′39″N	11°42′55″E
Trysil	61°18′36″N	12°18′54″E
Åmot	61°8′47″N	11°24′57″E
Stor-Elvdal	61°38′6″N	10°52′27″E
Rendalen	61°51′34″N	11°10′34″E
Engerdal	61°53′N	12°2′E
Tolga	62°24′5″N	11°1′20″E
Tynset	62°16′31″N	10°49′57″E
Alvdal	62°4′18″N	10°30′27″E
Folldal	62°11′57″N	10°2′7″E
Os	62°28′34″N	11°14′35″E
Dovre	62°2′6″N	9°28′3″E
Lesja	62°12′38″N	8°38′41″E
Skjåk	61°56′10″N	7°57′37″E
Lom	61°48′39″N	8°38′21″E
Vågå	61°50′55″N	9°7′16″E
Nord-Fron	61°39′32″N	9°43′40″E
Sel	61°49′1″N	9°34′24″E
Sør-Fron	61°34′8″N	9°55′24″E
Ringebu	61°32′8″N	10°18′29″E
Øyer	61°15′55″N	10°24′48″E
Gausdal	61°16′36″N	9°55′21″E
Østre Toten	60°36′48″N	10°54′58″E
Vestre Toten	60°39′10″N	10°35′46″E
Gran	60°26′28″N	10°29′44″E
Søndre Land	60°40′37″N	10°16′44″E
Nordre Land	60°55′55″N	10°1′2″E
Sør-Aurdal	60°41′47″N	9°39′32″E
Etnedal	60°58′2″N	9°39′13″E
Nord-Aurdal	60°57′35″N	9°15′51″E
Vestre Slidre	61°3′38″N	8°55′2″E
Øystre Slidre	61°14′11″N	9°8′37″E
Vang	61°12′52″N	8°30′15″E
Horten	59°25′15″N	10°25′58″E
Holmestrand	59°29′43″N	10°14′55″E
Tønsberg	59°17′53″N	10°25′25″E
Sandefjord	59°7′50″N	10°13′00″E
Larvik	59°4′52″N	10°0′59″E
Porsgrunn	59°6′56″N	9°42′36″E
Skien	59°12′29″N	9°33′10″E
Notodden	59°37′46″N	9°11′29″E
Færder	59°10′N	10°24′E
Siljan	59°17′51″N	9°42′23″E
Bamble	59°1′11″N	9°33′39″E
Kragerø	58°53′13″N	9°20′49″E
Drangedal	59°7′24″N	8°58′55″E
Nome	59°17′5″N	9°7′26″E
Midt-Telemark	59°27′00″N	9°06′00″E
Tinn	60°0′33″N	8°33′34″E
Hjartdal	59°39′54″N	8°43′34″E
Seljord	59°30′48″N	8°38′56″E
Kviteseid	59°23′54″N	8°29′42″E
Nissedal	59°4′35″N	8°31′6″E
Fyresdal	59°9′57″N	8°1′11″E
Tokke	59°25′2″N	7°58′43″E
Vinje	59°48′5″N	7°46′45″E
Risør	58°43′35″N	09°11′40″E
Grimstad	58°21′07″N	08°32′40″E
Arendal	58°27′39″N	08°45′59″E
Kristiansand	58°8′50″N	7°59′50″E
Lindesnes	58°06′15″N	07°17′20″E
Farsund	58°04′58″N	06°45′10″E
Flekkefjord	58°19′38″N	06°40′00″E
Gjerstad	58°53′33″N	08°57′24″E
Vegårshei	58°46′32″N	08°49′56″E
Tvedestrand	58°37′26″N	08°55′40″E
Froland	58°34′59″N	08°34′20″E
Lillesand	58°14′49″N	08°19′01″E
Birkenes	58°26′58″N	08°14′00″E
Åmli	58°47′53″N	08°22′9″E
Iveland	58°26′28″N	07°57′21″E
Evje og Hornnes	58°35′05″N	07°46′14″E
Bygland	58°55′27″N	07°45′53″E
Valle	59°12′45″N	7°32′09″E
Bykle	59°26′35″N	07°15′18″E
Vennesla	58°18′38″N	7°51′25″E
Åseral	58°42′07″N	07°23′37″E
Lyngdal	58°10′09″N	07°03′21″E
Hægebostad	58°27′24″N	07°13′11″E
Kvinesdal	58°20′17″N	07°01′23″E
Sirdal	58°51′43″N	06°48′48″E
Bergen	60°23′22″N	5°19′48″E
Kinn	61°35′59″N	5°01′58″E
Etne	59°39′50″N	05°56′00″E
Sveio	59°34′25″N	05°21′48″E
Bømlo	59°46′46″N	05°13′06″E
Stord	59°48′29″N	05°27′59″E
Fitjar	59°55′08″N	05°22′17″E
Tysnes	59°59′54″N	05°34′38″E
Kvinnherad	59°55′41″N	06°02′13″E
Ullensvang	60°18′42″N	06°48′53″E
Eidfjord	60°26′06″N	07°16′38″E
Ulvik	60°37′16″N	07°04′49″E
Voss	60°42′09″N	06°25′23″E
Kvam	60°22′12″N	06°08′38″E
Samnanger	60°24′10″N	05°48′20″E
Bjørnafjorden	60°11′44″N	5°37′20″E
Austevoll	60°02′16″N	05°16′06″E
