 
58°8′50″ 7°59′50″
58°06′15″ 07°17′20″
58°04′58″ 06°45′10″
58°19′38″ 06°40′00″
58°53′33″ 08°57′24″
58°46′32″ 08°49′56″
58°37′26″ 08°55′40″
58°34′59″ 08°34′20″
58°14′49″ 08°19′01″
58°26′58″ 08°14′00″
58°47′53″ 08°22′9″
58°26′28″ 07°57′21″
58°35′05″ 07°46′14″
58°55′27″ 07°45′53″
59°12′45″ 7°32′09″
59°26′35″ 07°15′18″
58°18′38″ 7°51′25″
58°42′07″ 07°23′37″
58°10′09″ 07°03′21″
58°27′24″ 07°13′11″
58°20′17″ 07°01′23″
58°51′43″ 06°48′48″
60°23′22″ 5°19′48″
61°35′59″ 5°01′58″
59°39′50″ 05°56′00″
59°34′25″ 05°21′48″
59°46′46″ 05°13′06″
59°48′29″ 05°27′59″
59°55′08″ 05°22′17″
59°59′54″ 05°34′38″
59°55′41″ 06°02′13″
60°18′42″ 06°48′53″
60°26′06″ 07°16′38″
60°37′16″ 07°04′49″
60°42′09″ 06°25′23″
60°22′12″ 06°08′38″
60°24′10″ 05°48′20″
60°11′44″ 5°37′20″
60°02′16″ 05°16′06″
60°36′39″ 04°49′29″
60°28′17″ 05°09′38″
60°36′25″ 05°48′58″
60°52′50″ 05°55′31″
60°31′05″ 05°32′29″
60°40′00″ 05°20′00″
60°46′16″ 04°55′34″
60°46′08″ 04°43′50″
60°50′18″ 05°26′55″
61°01′27″ 05°07′10″
61°07′51″ 04°56′52″
61°10′15″ 05°17′35″
61°11′17″ 05°53′44″
61°03′25″ 06°34′41″
61°14′32″ 07°03′18″
60°52′05″ 07°14′36″
61°03′04″ 07°35′52″
61°17′29″ 07°47′53″
61°29′38″ 07°19′46″
61°24′21″ 05°14′32″
61°18′22″ 05°27′48″
61°27′08″ 5°51′26″
61°48′31″ 05°25′15″
61°54′41″ 6°02′14″
61°44′38″ 06°10′14″
61°50′19″ 06°51′46″
63°25′47″ 10°23′36″
64°03′29″ 11°43′08″
64°29′38″ 11°30′42″
63°43′32″ 08°44′39″
64°17′52″ 10°30′48″
62°34′25″ 09°36′32″
62°49′51″ 09°52′28″
62°34′27″ 11°22′59″
62°52′07″ 11°16′38″
62°55′16″ 10°30′02″
63°10′35″ 10°18′13″
63°16′53″ 10°03′19″
63°22′22″ 10°45′03″
63°11′54″ 11°08′25″
63°01′06″ 11°48′54″
63°26′17″ 11°50′58″
63°28′30″ 11°10′15″
63°36′14″ 10°46′28″
63°39′17″ 11°15′37″
63°47′53″ 11°56′57″
64°13′28″ 12°37′31″
64°22′34″ 13°36′35″
64°55′15″ 13°39′03″
64°52′19″ 12°58′35″
64°31′53″ 12°37′12″
64°43′27″ 12°20′02″
64°30′28″ 11°53′38″
64°25′11″ 10°54′28″
65°05′17″ 11°37′01″
63°53′58″ 11°13′12″
63°38′38″ 10°11′13″
63°17′26″ 9°05′21″
63°32′50″ 08°51′17″
63°47′ 09°48′
63°58′40″ 10°23′08″
63°18′24″ 9°51′01″
64°50′21″ 11°27′39″
63°02′32″ 09°17′22″
69°40′58″ 18°56′34″
68°48′00″ 16°32′45″
69°58′36″ 23°17′45″
70°22′14″ 31°01′27″
70°04′24″ 29°44′59″
70°39′45″ 23°41′00″
68°42′07″ 16°08′49″
68°29′04″ 16°17′33″
68°49′46″ 17°14′45″
68°41′24″ 17°32′30″
68°39′28″ 17°35′01″
68°51′51″ 18°21′10″
68°54′02″ 17°53′35″
68°58′30″ 19°03′52″
69°05′31″ 18°11′37″
69°04′01″ 17°44′29″
69°04′50″ 16°48′11″
69°18′17″ 19°12′13″
70°07′48″ 19°25′51″
69°41′25″ 20°04′54″
69°16′43″ 20°17′12″
69°36′14″ 20°31′57″
70°05′07″ 20°39′34″
69°42′18″ 21°12′33″
69°53′39″ 21°58′49″
69°00′42″ 23°02′36″
70°14′22″ 22°20′55″
70°35′30″ 22°18′10″
70°59′48″ 24°39′41″
70°58′41″ 25°58′29″
70°03′08″ 24°57′21″
69°28′55″ 25°06′18″
70°56′43″ 27°21′04″
71°02′28″ 27°51′05″
70°51′29″ 29°05′06″
70°11′58″ 28°11′09″
70°10′24″ 28°33′13″
70°38′07″ 29°43′15″
69°43′43″ 30°02′30″
 
